sample	k	unique_kmers	error_kmers	genomic_kmers	main_peak	genome_size_in_peaks	genome_size	haploid_genome_size	fold_coverage	haploid_fold_coverage	ploidy	percent_repeat_in_peaks	percent_repeat
17	21	253348040	212302101	41045939	126	41935443	42854229	42854229	126	126	1	2.153	4.076
17	25	274804423	233655367	41149056	121	41988298	42875104	42875104	121	121	1	2.030	3.871
17	27	283689040	242576912	41112128	119	41906116	42807463	42807463	119	119	1	1.948	3.800
17	29	291638442	250504865	41133577	117	41946324	42806215	42806215	117	117	1	1.977	3.744
17	31	298768334	257618898	41149436	115	41996839	42804253	42804253	115	115	1	2.055	3.696
17	32	302052576	260859693	41192883	113	41989539	42871392	42871392	113	113	1	1.929	3.709
17	36	313477988	272336772	41141216	109	41969684	42802550	42802550	109	109	1	2.013	3.655
17	34	308095441	266889393	41206048	111	42040493	42874320	42874320	111	111	1	2.022	3.677
18	21	259498047	218989169	40508878	109	40997804	42085757	42085757	109	109	1	1.226	3.509
18	23	269987547	229424619	40562928	107	41032804	42093935	42093935	107	107	1	1.177	3.389
18	25	279081674	238480059	40601615	105	41934546	42105913	42105913	105	105	1	3.185	3.307
18	27	287134332	246569322	40565010	104	41820977	42025735	42025735	104	104	1	3.005	3.221
18	29	294297812	253710778	40587034	102	41857501	42039429	42039429	102	102	1	3.037	3.178
18	31	300679203	260073846	40605357	100	41914146	42056636	42056636	100	100	1	3.125	3.150
18	32	303601869	263023999	40577870	99	41850104	42020416	42020416	99	99	1	3.057	3.138
18	34	308949396	268355781	40593615	97	41851155	42041058	42041058	97	97	1	3.008	3.120
18	36	313671595	273062517	40609078	95	41895542	42065238	42065238	95	95	1	3.072	3.104
19	21	206849706	165406322	41443384	97	43015213	44300600	44300600	97	97	1	3.786	6.150
19	23	216474540	174937848	41536692	95	43163174	44340514	44340514	95	95	1	3.880	5.999
17	23	264819335	223712332	41107003	123	42004698	42875009	42875009	123	123	1	2.167	3.969
19	25	224997195	183417492	41579703	94	43163816	44306744	44306744	94	94	1	3.761	5.839
19	27	232673615	191043796	41629819	92	43182719	44342901	44342901	92	92	1	3.679	5.769
19	29	239608277	197939479	41668798	90	43229485	44380977	44380977	90	90	1	3.684	5.726
19	31	245888365	204219299	41669066	89	43207848	44310594	44310594	89	89	1	3.630	5.626
19	34	254210478	212490924	41719554	86	43259579	44396076	44396076	86	86	1	3.623	5.596
19	32	248803151	207105960	41697191	88	43209947	44356177	44356177	88	88	1	3.567	5.614
19	36	259081480	217376704	41704776	84	43242937	44407336	44407336	84	84	1	3.614	5.596
20	21	273376655	232525510	40851145	106	41678860	42729354	42729354	106	106	1	2.009	4.153
20	25	299293110	258397496	40895614	102	41662064	42691778	42691778	102	102	1	1.862	3.948
20	29	320488258	279542030	40946228	98	41664805	42695454	42695454	98	98	1	1.751	3.839
20	27	310399639	269475578	40924061	100	41666087	42700635	42700635	100	100	1	1.808	3.889
20	23	287053781	246197155	40856626	104	41655710	42684317	42684317	104	104	1	1.941	4.036
20	31	329664877	288699717	40965160	96	41665911	42725819	42725819	96	96	1	1.708	3.802
20	34	341885615	300990232	40895383	94	41587250	42611576	42611576	94	94	1	1.686	3.725
20	32	333936267	292993011	40943256	95	41653203	42693456	42693456	95	95	1	1.727	3.790
20	36	349078680	308169887	40908793	92	41576880	42628598	42628598	92	92	1	1.629	3.703
